,Airport,City,Country,Code
524,Sumburgh Airport,Sumburgh,United Kingdom,LSI
525,Wick Airport,Wick,United Kingdom,WIC
526,Aberdeen Dyce Airport,Aberdeen,United Kingdom,ABZ
527,Inverness Airport,Inverness,United Kingdom,INV
528,Glasgow International Airport,Glasgow,United Kingdom,GLA
529,Edinburgh Airport,Edinburgh,United Kingdom,EDI
530,Islay Airport,Islay,United Kingdom,ILY
531,Glasgow Prestwick Airport,Prestwick,United Kingdom,PIK
532,Benbecula Airport,Benbecula,United Kingdom,BEB
533,Scatsta Airport,Scatsta,United Kingdom,SCS
534,Dundee Airport,Dundee,United Kingdom,DND
535,Stornoway Airport,Stornoway,United Kingdom,SYY
536,Tiree Airport,Tiree,United Kingdom,TRE
537,RAF Leuchars,Leuchars,United Kingdom,ADX
538,RAF Lossiemouth,Lossiemouth,United Kingdom,LMO
539,Cambridge Airport,Cambridge,United Kingdom,CBG
541,Norwich International Airport,Norwich,United Kingdom,NWI
542,London Stansted Airport,London,United Kingdom,STN
546,Exeter International Airport,Exeter,United Kingdom,EXT
547,Bristol Filton Airport,Bristol,United Kingdom,FZO
548,Oxford (Kidlington) Airport,Oxford,United Kingdom,OXF
549,RAF Benson,Benson,United Kingdom,BEX
550,RAF Lakenheath,Lakenheath,United Kingdom,LKZ
551,RAF Mildenhall,Mildenhall,United Kingdom,MHZ
553,RAF Wyton,Wyton,United Kingdom,QUY
554,RAF Fairford,Fairford,United Kingdom,FFD
555,RAF Brize Norton,Brize Norton,United Kingdom,BZZ
556,RAF Odiham,Odiham,United Kingdom,ODH
558,RAF Northolt,Northolt,United Kingdom,NHT
559,RAF Coningsby,Coningsby,United Kingdom,QCY
563,RAF Honington,Honington,United Kingdom,BEQ
565,RAF Scampton,Scampton,United Kingdom,SQZ
567,RAF Linton-On-Ouse,Linton-on-ouse,United Kingdom,HRT
568,RAF Waddington,Waddington,United Kingdom,WTN
572,RAF Marham,Marham,United Kingdom,KNF
573,Mount Pleasant Airport,Mount Pleasant,Falkland Islands,MPN
574,Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS
576,Maastricht Aachen Airport,Maastricht,Netherlands,MST
579,Eindhoven Airport,Eindhoven,Netherlands,EIN
580,Eelde Airport,Groningen,Netherlands,GRQ
581,Gilze Rijen Air Base,Gilze-rijen,Netherlands,GLZ
582,De Kooy Airport,De Kooy,Netherlands,DHR
583,Lelystad Airport,Lelystad,Netherlands,LEY
584,Leeuwarden Air Base,Leeuwarden,Netherlands,LWR
585,Rotterdam The Hague Airport,Rotterdam,Netherlands,RTM
586,Soesterberg Air Base,Soesterberg,Netherlands,UTC
587,Twente Airport,Enschede,Netherlands,ENS
588,Valkenburg Naval Air Base,Valkenburg,Netherlands,LID
589,Woensdrecht Air Base,Woensdrecht,Netherlands,WOE
590,Cork Airport,Cork,Ireland,ORK
591,Galway Airport,Galway,Ireland,GWY
592,Dublin Airport,Dublin,Ireland,DUB
593,Ireland West Knock Airport,Connaught,Ireland,NOC
594,Kerry Airport,Kerry,Ireland,KIR
596,Shannon Airport,Shannon,Ireland,SNN
597,Sligo Airport,Sligo,Ireland,SXL
598,Waterford Airport,Waterford,Ireland,WAT
599,Aarhus Airport,Aarhus,Denmark,AAR
600,Billund Airport,Billund,Denmark,BLL
601,Copenhagen Kastrup Airport,Copenhagen,Denmark,CPH
602,Esbjerg Airport,Esbjerg,Denmark,EBJ
604,Karup Airport,Karup,Denmark,KRP
605,Læsø Airport,Laeso,Denmark,BYR
606,Lolland Falster Maribo Airport,Maribo,Denmark,MRW
607,Odense Airport,Odense,Denmark,ODE
609,Copenhagen Roskilde Airport,Copenhagen,Denmark,RKE
