iata,name,city,city_norm,country,continent,type,lat,lon
TJH,Konotori Tajima Airport,Toyooka,toyooka,JP,AS,medium_airport,35.512798,134.787003
TOE,Tozeur Nefta International Airport,Tozeur,tozeur,TN,AF,medium_airport,33.939701080322266,8.110560417175293
TZX,Trabzon International Airport,Trabzon,trabzon,TR,AS,medium_airport,40.995098,39.7897
TST,Trang Airport,Trang,trang,TH,AS,medium_airport,7.50874,99.6166
TPS,Vincenzo Florio Airport Trapani-Birgi,Trapani (TP),trapani (tp),IT,EU,medium_airport,37.9114,12.488
TVC,Cherry Capital Airport,Traverse City,traverse city,US,NA,medium_airport,44.741402,-85.582199
TCB,Treasure Cay Airport,Treasure Cay,treasure cay,BS,NA,medium_airport,26.745300293,-77.3912963867
TSF,Treviso Airport,Treviso (TV),treviso (tv),IT,EU,large_airport,45.648399,12.1944
TRR,China Bay Airport,Trincomalee,trincomalee,LK,AS,medium_airport,8.539159,81.18128
TND,Alberto Delgado Airport,Trinidad,trinidad,CU,NA,medium_airport,21.7883,-79.9972
MJI,Mitiga International Airport,Tripoli,tripoli,LY,AF,large_airport,32.89177,13.287878
THN,Trollhättan-Vänersborg Airport,Trollhättan,trollhattan,SE,EU,medium_airport,58.31809997558594,12.345000267028809
TOS,Tromsø Airport,Tromsø,tromsø,NO,EU,large_airport,69.683296,18.9189
TRD,"Trondheim Airport, Værnes",Trondheim,trondheim,NO,EU,large_airport,63.457802,10.924
TKF,Truckee Tahoe Airport,Truckee,truckee,US,NA,medium_airport,39.318628,-120.140562
TRU,Capitán FAP Carlos Martínez de Pinillos International Airport,Trujillo,trujillo,PE,SA,large_airport,-8.082382,-79.108821
TSJ,Tsushima Airport,Tsushima,tsushima,JP,AS,medium_airport,34.2849006653,129.330993652
TUS,Tucson International Airport,Tucson,tucson,US,NA,large_airport,32.115004,-110.938053
TUR,Tucuruí Airport,Tucuruí,tucurui,BR,SA,medium_airport,-3.78601,-49.720299
TUG,Tuguegarao Airport,Tuguegarao City,tuguegarao city,PH,AS,medium_airport,17.6433676823,121.733150482
TIH,Tikehau Airport,Tuherahera,tuherahera,PF,OC,medium_airport,-15.1196,-148.231003
TUA,Lieutenant Colonel Luis A. Mantilla International Airport,Tulcán,tulcan,EC,SA,medium_airport,0.809506,-77.708099
TUL,Tulsa International Airport,Tulsa,tulsa,US,NA,large_airport,36.197084,-95.886225
TQO,Felipe Carrillo Puerto International Airport Tulum,Tulum,tulum,MX,NA,large_airport,20.172098,-87.660272
TCO,La Florida Airport,Tumaco,tumaco,CO,SA,medium_airport,1.81442,-78.7492
TBP,Captain Pedro Canga Rodríguez International Airport,Tumbes,tumbes,PE,SA,medium_airport,-3.552074,-80.381086
TUN,Tunis Carthage International Airport,Tunis,tunis,TN,AF,large_airport,36.851002,10.2272
IAR,Golden Ring Yaroslavl International Airport,Tunoshna,tunoshna,RU,AS,large_airport,57.560699,40.157398
TUP,Tupelo Regional Airport,Tupelo,tupelo,US,NA,medium_airport,34.26810073852539,-88.7698974609375
TUI,Turaif Domestic Airport,Turaif,turaif,SA,AS,medium_airport,31.692188,38.731544
TUK,Turbat International Airport,Turbat,turbat,PK,AS,large_airport,25.984767,63.028856
HSA,Hazrat Sultan International Airport,Turkıstan,turkıstan,KZ,AS,large_airport,43.311742,68.550185
CRZ,Türkmenabat International Airport,Türkmenabat,turkmenabat,TM,AS,large_airport,38.930662,63.563982
KRW,Turkmenbaşy International Airport,Turkmenbaşy,turkmenbasy,TM,AS,medium_airport,40.062833,53.005085
TKU,Turku Airport,Turku,turku,FI,EU,large_airport,60.514099,22.2628
TLQ,Turpan Jiaohe Airport,Turpan,turpan,CN,AS,medium_airport,43.0308,89.0987
TGZ,Angel Albino Corzo International Airport,Tuxtla Gutiérrez,tuxtla gutierrez,MX,NA,medium_airport,16.561611,-93.025731
TBB,Dong Tac Airport,Tuy Hoa,tuy hoa,VN,AS,medium_airport,13.0496,109.334
TWF,Joslin Field Magic Valley Regional Airport,Twin Falls,twin falls,US,NA,medium_airport,42.4818,-114.487999
TYR,Tyler Pounds Regional Airport,Tyler,tyler,US,NA,medium_airport,32.35409927368164,-95.40239715576172
ECN,Ercan International Airport,Tymbou (Kirklar),tymbou (kirklar),CY,AS,large_airport,35.153064,33.507352
TJM,Roshchino International Airport,Tyumen,tyumen,RU,AS,large_airport,57.178984,65.327696
UBJ,Yamaguchi Ube Airport,Ube,ube,JP,AS,medium_airport,33.93,131.279007
UBA,Mário de Almeida Franco Airport,Uberaba,uberaba,BR,SA,medium_airport,-19.765036,-47.964805
UDI,Ten. Cel. Aviador César Bombonato Airport,Uberlândia,uberlandia,BR,SA,medium_airport,-18.883579,-48.225936
UBP,Ubon Ratchathani Airport,Ubon Ratchathani,ubon ratchathani,TH,AS,medium_airport,15.2512998581,104.870002747
UDR,Maharana Pratap Airport,Udaipur,udaipur,IN,AS,medium_airport,24.617700576799997,73.89610290530001
UTH,Udon Thani International Airport,Udon Thani,udon thani,TH,AS,large_airport,17.386186,102.788577
UFA,Ufa International Airport,Ufa,ufa,RU,EU,large_airport,54.557498931885,55.874401092529
UCT,Ukhta Airport,Ukhta,ukhta,RU,AS,medium_airport,63.566898,53.804699
